train, test
0.72268,0.78609
0.72252,0.78578
0.72231,0.78577
0.72219,0.78563
0.72214,0.78564
0.72188,0.78546
0.72186,0.78551
0.72168,0.78539
0.72151,0.78516
0.72136,0.78518
0.72131,0.78509
0.72120,0.78493
0.72108,0.78486
0.72091,0.78473
0.72072,0.78466
0.72071,0.78459
0.72048,0.78456
0.72040,0.78443
0.72027,0.78438
0.72014,0.78417
0.71999,0.78409
0.71990,0.78412
0.71975,0.78394
0.71968,0.78386
0.71953,0.78385
0.71939,0.78374
0.71931,0.78368
0.71916,0.78360
0.71901,0.78351
0.71893,0.78341
0.71878,0.78321
0.71867,0.78324
0.71853,0.78306
0.71840,0.78305
0.71830,0.78303
0.71821,0.78291
0.71810,0.78284